Timestamp,T1,T2,T3,T4,T5,T6,Ref,Calibration On,Raw Low T1,Ref Low T1,Raw High T1,Ref High T1,Raw Low T2,Ref Low T2,Raw High T2,Ref High T2,Raw Low T3,Ref Low T3,Raw High T3,Ref High T3,Raw Low T4,Ref Low T4,Raw High T4,Ref High T4,Raw Low T5,Ref Low T5,Raw High T5,Ref High T5,Raw Low T6,Ref Low T6,Raw High T6,Ref High T6,Calibrated T1,Calibrated T2,Calibrated T3,Calibrated T4,Calibrated T5,Calibrated T6
2024-03-27 20:16:16,23.13083649,23.13239098,23.22348022,23.15226364,23.11846924,23.17004967,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:16:17,23.13064384,23.13251495,23.22340393,23.15229797,23.11832428,23.17018509,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:16:17,23.13057709,23.13262177,23.22330475,23.15233803,23.11815453,23.17030525,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:16:18,23.13043976,23.13266182,23.22314072,23.15231514,23.11803436,23.17040253,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:16:18,23.13018799,23.13271141,23.22301483,23.15238571,23.11774445,23.1704998,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:16:19,23.13000298,23.13272095,23.22286797,23.15244484,23.11759758,23.17059517,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:16:19,23.12995529,23.13286781,23.2226162,23.15237808,23.11737823,23.17061996,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:16:20,23.129673,23.13287926,23.22255707,23.15239716,23.11712646,23.17073441,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:16:20,23.12947845,23.13278008,23.22231483,23.15242577,23.11704063,23.17081261,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:16:21,23.12944412,23.13269806,23.22221565,23.15234566,23.11678314,23.17080116,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
