Timestamp,T1,T2,T3,T4,T5,T6,Ref,Calibration On,Raw Low T1,Ref Low T1,Raw High T1,Ref High T1,Raw Low T2,Ref Low T2,Raw High T2,Ref High T2,Raw Low T3,Ref Low T3,Raw High T3,Ref High T3,Raw Low T4,Ref Low T4,Raw High T4,Ref High T4,Raw Low T5,Ref Low T5,Raw High T5,Ref High T5,Raw Low T6,Ref Low T6,Raw High T6,Ref High T6,Calibrated T1,Calibrated T2,Calibrated T3,Calibrated T4,Calibrated T5,Calibrated T6
2024-03-27 20:17:59,23.11772728,23.12826347,23.20993614,23.14256859,23.10466003,23.16420937,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:17:59,23.1174984,23.12811852,23.20976639,23.14238358,23.10460091,23.16413879,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:18:00,23.11743736,23.12818336,23.20970726,23.14228821,23.10448837,23.16418648,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:18:01,23.11725616,23.12826347,23.20956993,23.14232445,23.10437012,23.16413879,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:18:01,23.11727142,23.12804985,23.2095108,23.14222908,23.10431099,23.16412735,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:18:02,23.1172905,23.1280365,23.20944023,23.14218903,23.10421944,23.16405106,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:18:02,23.11714745,23.12793732,23.2093811,23.14204216,23.10423088,23.16396904,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:18:02,23.1171608,23.12771034,23.20930481,23.14199448,23.10427094,23.16389275,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:18:03,23.11709976,23.12761116,23.20924568,23.14174271,23.10411263,23.16364288,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:18:04,23.11702919,23.12721062,23.20910454,23.14180183,23.10418129,23.16340828,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:18:04,23.11694145,23.12704277,23.2090168,23.14158249,23.10409927,23.16317749,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:18:05,23.11698151,23.12669754,23.20918655,23.14146996,23.10429382,23.16302109,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:18:05,23.11714745,23.12632179,23.20931625,23.1413517,23.10445595,23.16290092,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:18:06,23.11724281,23.12617683,23.20940399,23.14120865,23.10463715,23.16294861,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:18:06,23.11745071,23.12592316,23.20935249,23.14109802,23.10461998,23.16272926,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:18:07,23.11735535,23.12585068,23.20928192,23.14092636,23.1044178,23.16260719,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:18:07,23.11728287,23.12592316,23.20914841,23.14073181,23.10435867,23.1625843,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-27 20:18:08,23.11727142,23.1257515,23.20915794,23.14079094,23.10421944,23.16257668,0,Off,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
